Genus Code,Species Code,Cultivar Code,Species Latin,Species Common,Native_SLL,Native_ETF,Invasive,Origin Source,Invasive Source,Comments
TI,TIAM,TIAMRE,Tilia americana 'Redmond',Redmond American Linden,Y,Y,N,USDA/TC/LM,WI,
TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,USDA,WI,
TI,TICO,TICOCO,Tilia cordata 'Corzam',Corinthian Littleleaf Linden,N,N,N,USDA/Mortens,WI,
TI,TICO,TICOGL,Tilia cordata 'Glenleven',Glenleven Littleleaf Linden,N,N,N,USDA/Mortens,WI,
TI,TICO,TICOGR,Tilia cordata 'Greenspire',Greenspire Littleleaf Linden,N,N,N,Mortens,WI,
TI,TICO,TICOSH,Tilia cordata 'Sheridan',Sheridan Littleleaf Linden,N,N,N,USDA,WI,
TI,TIER,TIERWR,Tilia x europaea 'Wratislaviensis',Warsaw Linden,N,N,N,USDA,WI,
TI,TIMO,TIMOHG,Tilia x mongolica 'Harvest Gold',Harvest Gold Mongolian Linden,N,N,N,Mortens,WI,
TI,TITO,TITO,Tilia tomentosa,Silver Linden,N,N,N,USDA/TC/Mortens,WI,
TS,TSCA,TSCA,Tsuga Canadensis,Eastern hemlock,Y,Y,N,USDA/TC.LM,WI,
UL,ULAM,ULAM,Ulmus americana,White Elm,Y,Y,N,USDA/TC/LM,WI,
UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',Japanese Elm,N,N,N,USDA/Mortens,WI,
UL,ULHO,ULHOPI,Ulmus x hollandica 'Pioneer',Pioneer Elm,N,N,N,Mortens,WI,
UL,ULLA,ULLA,Ulmus Laevis,White Elm,N,N,N,http://www.euforgen.org/species/ulmus-laevis/,WI,
UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,N,N,Y,USDA/TC/LM,WI/Mortens,
UL,ULWI,ULWIPR,Ulmus wilsoniana 'Prospector',Prospector's Elm,N,N,N,Mortens,WI,
UL,ULFR,ULXXFR,Ulmus x 'Frontier',Ulmus x 'Frontier',N,N,N,Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf,WI,"Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,N,N,N,Mortens/TB,WI,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)"
UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,N,N,N,Mortons,WI,
UL,ULMI,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,N,N,N,Mortons,WI,
UL,ULMS,ULXXMS,Ulmus x 'Morton Stalwart',"'Morton Stalwart' - Commendation (TM) Elm,",N,N,N,Mortens/TB,WI,"Hybrid of non-native U. wilsoniana, non-native U. pumila, non-native U. japonica and non-native U. minor. Deemed non-invasive: Easy to grow in nursery (TB) and tolerant in difficult conditions but no invasive traits (KP)"
UL,ULNH,ULXXNH,Ulmus x New Horizon,Ulmus x New Horizon,N,N,N,Mortens/TB,WI,Hybrid of non-native U. japonica and non-native U. pumila. Deemed non-invasive: U. pumila heritage makes it susceptible to elm leaf beetle (TB) and tolerant to difficult conditions (Mortens)
UL,ULVG,ULXXVG,Ulmus x 'Morton Plainsman',Vanguard Elm,N,N,N,TB,WI,Hybrid of non-native U. japonica and non-native U. pumila. Deemed non-invasive: Fast grower and tolerant to difficult conditions (Mortens) attractive to elm leaf beetle and not aesthetically pleasing due to U. pumila heritage (TB)
VI,VILE,VILE,Viburnum Lentago,Nannyberry,Y,Y,N,USDA/TC/LM,WI,
VI,VIOP,VIOP,Viburnum opulus,European cranberry bush,N,N,N,TC/Mortens,WI,
VI,VILA,VILA,Vitis Labrusca 'Concord',Fox grape,N,Y,N,USDA/https://gobotany.nativeplanttrust.org/species/vitis/labrusca/ / http://www.efloras.org/object_page.aspx?object_id=129761&flora_id=1 / https://www.wildflower.org/plants/result.php?id_plant=VILA8,WI,Refer to website in Origin Source column: Unclear information on distribution regarding Saint-Laurence Lowlands however deemed native to the eastern temperate forest (KP)
WE,WEFL,WEFL,Weigela Florida,Oldfashioned weigela,N,N,N,USDA/Mortons,WI,
EU,EUEU,EUEU,"Euonymus Europaeus""",European Spindle ,N,N,,,,
AM,AMAR,AMAR,Amelanchier Arborea,Downy Serviceberry,Y,Y,,,,
PN,PNMU,PNMU,Pinus mugo,Mountain Pine,N,N ,,Missouri Botanical Garden,,
JN,JNSC,JNSC,Juniperus Scopulorum ,Rocky Mountain Juniper,N,N,,USDA,,
JU,JURE,JURE,Juglans Regia,English Walnut,N,N,,Missouri Botanical Garden,,
CH,CHPI,CHPI,Chamaecyparis Pisifera,Sawara Cypress,N,N,,Missouri Botanical Garden,,
CU,CUCA,CUCA,Cupressus cashmeriana,Kashmir_cypress,N,N,,,,"M 'Woodsman x M 'Tina Durio', which is a mix of M liliiflora, non native to NA"
MG,MGDA,MGXXDA,Daybreak_Magnolia,Magnolia x 'Daybreak',N,N,,,,
MG,MGST,MGST,Magnolia Stellata,Magnolia Stellata,N,N,,Missouri Botanical Garden,,
